ticker,date,period,period_label,fiscal_year,currency,cf_net_inc,cf_non_cash_items_detailed,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_change_in_inventories,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_divestitures,cf_cash_for_acquis_subsidiaries,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_nt_csh_proc_pymt_debt,cf_proc_debt_and_capital_lease,cf_pymt_debt_and_capital_lease,cf_proc_fr_repurch_eqty_detailed,cf_incr_cap_stock,cf_decr_cap_stock,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,ebitda,ebitda_margin,cf_net_cash_paid_for_aquis,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,cash_flow_to_net_inc,free_cash_flow_per_sh,pr_to_free_cash_flow,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,company,cf_depr_amort,cf_asset_impairment_charge,cf_change_in_accounts_payable,cf_change_in_prepaid_assets
MGDDY,2025-12-31,annual,2025,2025,USD,1763840000.0,1995980000.0,629640000.0,1366340000.0,288320000.0,-30740000.0,268180000.0,50880000.0,4048140000.0,-2086080000.0,-1816840000.0,-269240000.0,185500000.0,226840000.0,-41340000.0,71020000.0,132500000.0,-61480000.0,126140000.0,-1703420000.0,-1032440000.0,164300000.0,174900000.0,-10600000.0,-631760000.0,76320000.0,-708080000.0,-879800000.0,-2379700000.0,-28620000.0,-34980000.0,-2086080000.0,2781440000.0,10.095413973530317,-71020000.0,1962060000.0,2238587617.360496,2395600000.0,2.293693693693694,,,,,Michelin,,,,
MGDDY,2024-12-31,annual,2024,2024,USD,2041200000.0000002,2567160000.0,599400000.0,1967760000.0000002,74520000.0,254880000.00000003,-178200000.0,-2160000.0,4682880000.0,-2356560000.0,-2056320000.0000002,-300240000.0,111240000.0,174960000.0,-63720000.00000001,-2160000.0,5400000.0,-7560000.000000001,-32400000.000000004,-2279880000.0,-1037880000.0000001,1056240000.0000001,1082160000.0,-25920000.0,-502200000.00000006,39960000.0,-542160000.0,-373680000.0,-857520000.0,-10800000.0,1545480000.0,-2356560000.0,3441960000.0,11.719927922627146,2160000.0,2326320000.0,2572599754.6012273,3682800000.0000005,2.3014861995753715,1.5100793654389078,3.4638941639430776,,,Michelin,,,,
MGDDY,2023-12-31,annual,2023,2023,USD,2141640000.0000002,2504520000.0,547560000.0,1956960000.0000002,1063800000.0000001,274320000.0,837000000.0,-47520000.0,5709960000.0,-2414880000.0,-2164320000.0,-250560000.00000003,-77760000.0,294840000.0,-372600000.0,-703080000.0,153360000.0,-856440000.0,31320000.000000004,-3164400000.0,-964440000.0000001,-10800000.0,24840000.0,-35640000.0,,,,-1547640000.0,-2522880000.0,-97200000.0,22680000.0,-2414880000.0,3721680000.0000005,12.158204847757824,703080000.0,3295080000.0,3627937301.2048197,3534840000.0,2.6661623802319716,2.130930408574099,3.096830921482764,,,Michelin,,,,
MGDDY,2022-12-31,annual,2022,2022,USD,2109450000.0,2098950000.0,679350000.0,1419600000.0,-2180850000.0,-783300000.0,-1107750000.0,-289800000.0,2027550000.0,-2248050000.0,-2014950000.0,-233100000.0,110250000.0,172200000.0,-61950000.0,-61950000.0,68250000.0,-130200000.0,157500000.0,-2042250000.0,-843150000.0,-106050000.0,70350000.0,-176400000.0,-46200000.0,79800000.0,-126000000.0,-957600000.0,-1953000000.0,-25200000.0,-1967700000.0,-2248050000.0,3286500000.0,10.947883875480938,61950000.0,-220500000.0,55888780.12048193,-93450000.0,0.9650174912543729,-0.14718249949954795,4.57336227435848,,,Michelin,,,,
MGDDY,2021-12-31,annual,2021,2021,USD,2177100000.0,2224300000.0,738680000.0,1485620000.0,-972320000.0,-436600000.0,-1305080000.0,769360000.0,3429080000.0,-2011900000.0,-1762920000.0,-248980000.0,-205320000.0,96760000.0,-302080000.0,-100300000.0,,-100300000.0,251340000.0,-2066180000.0,-483800000.0,-861400000.0,51920000.0,-913320000.0,,,,-345740000.0,-1690940000.0,15340000.0,-328040000.0,-2011900000.0,3515220000.0,12.519436856482455,100300000.0,1417180000.0,1642731436.6653175,804760000.0,1.5759219088937093,0.8416107231224167,5.6081417022017535,,,Michelin,,,,
MGDDY,2020-12-31,annual,2020,2020,USD,712499999.9999999,2326740000.0,403559999.99999994,1923179999.9999998,797999999.9999999,104879999.99999999,629280000.0,63839999.99999999,3837239999.9999995,-1391939999.9999998,-1186740000.0,-205199999.99999997,-78660000.0,109439999.99999999,-188099999.99999997,-79800000.0,5699999.999999999,-85500000.0,-31919999.999999996,-1582319999.9999998,-406979999.99999994,1553819999.9999998,2780460000.0,-1226640000.0,-50159999.99999999,62699999.99999999,-112859999.99999999,435479999.99999994,1532159999.9999998,-46739999.99999999,3787079999.9999995,-1391939999.9999998,1991579999.9999998,8.534857589525624,79800000.0,2445300000.0,2653446067.41573,4204319999.9999995,5.325949367088608,1.5037014188772362,4.1133363779094525,,,Michelin,,,,
MGDDY,2019-12-31,annual,2019,2019,USD,1937600000.0000002,1892800000.0000002,566720000.0,1326080000.0000002,-110880000.00000001,-90720000.00000001,164640000.00000003,-184800000.00000003,3719520000.0000005,-2017120000.0000002,-1785280000.0000002,-231840000.00000003,-43680000.00000001,40320000.00000001,-84000000.00000001,-476000000.00000006,143360000.0,-619360000.0,20160000.000000004,-2516640000.0000005,-744800000.0000001,-761600000.0000001,206080000.00000003,-967680000.0000001,-153440000.0,4480000.0,-157920000.00000003,-288960000.0,-1948800000.0000002,4480000.0,-745920000.0000001,-2017120000.0000002,3372320000.0000005,12.475657758442097,476000000.00000006,1702400000.0000002,2045552772.8085868,1172640000.0,1.8966304968589378,1.058425063505504,3.831187361954126,,,Michelin,,,,
MGDDY,2018-12-31,annual,2018,2018,USD,1958800000.0,1613060000.0,672600000.0,940460000.0,-231280000.0,-61360000.0,4720000.0,-174640000.0,3340580000.0,-1968240000.0,-1731060000.0,-237180000.0,-293820000.0,10620000.0,-304440000.0,-3512860000.0,189980000.0,-3702840000.0,103840000.0,-5671080000.0,-751660000.0,3640300000.0,3734700000.0,-94400000.0,-20060000.0,68440000.0,-88500000.0,-121540000.0,2747040000.0,2360000.0,416540000.0,-1968240000.0,3224940000.0,12.406936626112222,3512860000.0,1372340000.0,1622679910.3139012,5249820000.0,1.688133571854502,0.812196212078887,3.425440830677473,,,Michelin,,,,
MGDDY,2017-12-31,annual,2017,2017,USD,1913089999.9999998,1256560000.0,746929999.9999999,509629999.99999994,-72320000.0,-358209999.99999994,-351429999.99999994,637319999.9999999,3097329999.9999995,-2001229999.9999998,-1791049999.9999998,-210179999.99999997,-146900000.0,11299999.999999998,-158199999.99999997,-415839999.99999994,31639999.999999996,-447479999.99999994,236169999.99999997,-2327800000.0,-659919999.9999999,47459999.99999999,558220000.0,-510759999.99999994,-94919999.99999999,19210000.0,-114129999.99999999,-105089999.99999999,-812469999.9999999,-16950000.0,-42939999.99999999,-2001229999.9999998,3107499999.9999995,12.522768670309652,415839999.99999994,1096100000.0,1319591822.4299064,1353739999.9999998,1.6123529411764705,0.6740267609470284,4.778139202356883,,,Michelin,,,,
MGDDY,2016-12-31,annual,2016,2016,USD,1850370000.0000002,1443000000.0000002,884670000.0000001,558330000.0,-224220000.00000003,-354090000.00000006,-92130000.00000001,222000000.00000003,3069150000.0000005,-2010210000.0000002,-1834830000.0000002,-175380000.00000003,-206460000.00000003,14430000.000000002,-220890000.00000003,-2220000.0,,-2220000.0,9990000.0,-2110110000.0000002,-571650000.0,-130980000.00000001,127650000.00000001,-258630000.00000003,-224220000.00000003,109890000.00000001,-334110000.0,39960000.0,-886890000.0000001,4440000.0,72150000.0,-2010210000.0000002,3330000000.0000005,14.349261013057827,2220000.0,1058940000.0000001,1311263181.8181818,1202130000.0,1.649761336515513,0.6599883775631624,4.324475285111945,98790000.00000001,98790000.00000001,Michelin,,,,
