date,open,high,low,close,adj_close,volume,unadjusted_volume,change,change_percent,vwap,label,ticker,company
2016-03-31,18.75,18.75,18.56,18.62,18.62,236501,,-0.13,-0.69333,18.67,"March 31, 2016",BRDCY,Bridgestone
2016-04-01,18.11,18.16,18,18.11,18.11,20490,,0,0,18.095,"April 01, 2016",BRDCY,Bridgestone
2016-04-04,17.8,17.95,17.77,17.77,17.77,15294,,-0.025,-0.16854,17.8225,"April 04, 2016",BRDCY,Bridgestone
2016-04-05,17.4,17.4,17,17.15,17.15,214170,,-0.25,-1.44,17.2375,"April 05, 2016",BRDCY,Bridgestone
2016-04-06,17.25,17.6,17.25,17.6,17.6,49562,,0.345,2.03,17.425,"April 06, 2016",BRDCY,Bridgestone
2016-04-07,17.69,17.85,17.6,17.73,17.73,23068,,0.04,0.22612,17.7175,"April 07, 2016",BRDCY,Bridgestone
2016-04-08,18.1,18.31,17.98,18.25,18.25,442130,,0.155,0.82873,18.16,"April 08, 2016",BRDCY,Bridgestone
2016-04-11,18.35,18.35,17.99,17.99,17.99,43240,,-0.36,-1.96,18.17,"April 11, 2016",BRDCY,Bridgestone
2016-04-12,18.13,18.31,18.07,18.26,18.26,18675,,0.13,0.71704,18.1925,"April 12, 2016",BRDCY,Bridgestone
2016-04-13,18.22,18.63,18.22,18.57,18.57,26575,,0.35,1.92,18.41,"April 13, 2016",BRDCY,Bridgestone
2016-04-14,18.54,18.88,18.54,18.72,18.72,29890,,0.18,0.97087,18.67,"April 14, 2016",BRDCY,Bridgestone
2016-04-15,18.73,18.78,18.55,18.63,18.63,15480,,-0.1,-0.5339,18.6725,"April 15, 2016",BRDCY,Bridgestone
2016-04-18,18.8,18.89,18.73,18.83,18.83,13633,,0.034,0.15957,18.8125,"April 18, 2016",BRDCY,Bridgestone
2016-04-19,19,19.08,18.84,18.94,18.94,24170,,-0.06,-0.31579,18.965,"April 19, 2016",BRDCY,Bridgestone
2016-04-20,18.6,19.06,18.6,18.97,18.97,53185,,0.365,1.99,18.8075,"April 20, 2016",BRDCY,Bridgestone
2016-04-21,18.93,19.01,18.89,18.97,18.97,15249,,0.04,0.2113,18.95,"April 21, 2016",BRDCY,Bridgestone
2016-04-22,19.26,19.26,18.75,19.18,19.18,19683,,-0.08,-0.41537,19.1125,"April 22, 2016",BRDCY,Bridgestone
2016-04-25,19.18,19.25,19.06,19.11,19.11,24635,,-0.065,-0.36496,19.15,"April 25, 2016",BRDCY,Bridgestone
2016-04-26,19.13,19.16,19.04,19.16,19.16,5615,,0.035,0.15682,19.1225,"April 26, 2016",BRDCY,Bridgestone
2016-04-27,19.16,19.25,18.92,19.23,19.23,21180,,0.07,0.36534,19.14,"April 27, 2016",BRDCY,Bridgestone
2016-04-28,18.68,18.7,18.34,18.4,18.4,32489,,-0.28,-1.5,18.53,"April 28, 2016",BRDCY,Bridgestone
2016-04-29,18.86,18.91,18.21,18.29,18.29,29743,,-0.57,-3.02,18.5675,"April 29, 2016",BRDCY,Bridgestone
2016-05-02,18.46,18.64,18.41,18.64,18.64,62459,,0.178,0.97508,18.5375,"May 02, 2016",BRDCY,Bridgestone
2016-05-03,18.28,18.74,18.28,18.4,18.4,35726,,0.12,0.65646,18.425,"May 03, 2016",BRDCY,Bridgestone
2016-05-04,18.67,18.67,18.17,18.19,18.19,28682,,-0.48,-2.57,18.425,"May 04, 2016",BRDCY,Bridgestone
2016-05-05,18.26,18.42,18.21,18.32,18.32,17218,,0.06,0.32859,18.3025,"May 05, 2016",BRDCY,Bridgestone
2016-05-06,18.67,18.67,18.27,18.59,18.59,19405,,-0.08,-0.42849,18.55,"May 06, 2016",BRDCY,Bridgestone
2016-05-09,18.4,18.59,18.4,18.53,18.53,26501,,0.13,0.70652,18.48,"May 09, 2016",BRDCY,Bridgestone
2016-05-10,18.69,19.24,18.69,19.14,19.14,17337,,0.45,2.41,18.94,"May 10, 2016",BRDCY,Bridgestone
2016-05-11,19.13,19.13,16.4,17.2,17.2,44917,,-1.93,-10.09,17.965,"May 11, 2016",BRDCY,Bridgestone
2016-05-12,17.38,17.86,17.33,17.73,17.73,56150,,0.35,2.01,17.575,"May 12, 2016",BRDCY,Bridgestone
2016-05-13,17.25,17.39,17.09,17.16,17.16,50260,,-0.095,-0.52174,17.2225,"May 13, 2016",BRDCY,Bridgestone
2016-05-16,16.73,17.17,16.69,17.05,17.05,20719,,0.315,1.91,16.91,"May 16, 2016",BRDCY,Bridgestone
2016-05-17,16.91,17.15,16.8,16.84,16.84,17378,,-0.07,-0.41396,16.925,"May 17, 2016",BRDCY,Bridgestone
2016-05-18,17.03,17.03,16.82,16.88,16.88,22123,,-0.155,-0.8808,16.94,"May 18, 2016",BRDCY,Bridgestone
2016-05-19,16.81,16.96,16.81,16.9,16.9,19156,,0.085,0.5354,16.87,"May 19, 2016",BRDCY,Bridgestone
2016-05-20,16.65,16.68,16.55,16.65,16.65,24504,,0,0,16.6325,"May 20, 2016",BRDCY,Bridgestone
2016-05-23,16.89,16.89,16.51,16.63,16.63,28414,,-0.265,-1.54,16.73,"May 23, 2016",BRDCY,Bridgestone
2016-05-24,16.7,16.83,16.56,16.76,16.76,32244,,0.06,0.35928,16.7125,"May 24, 2016",BRDCY,Bridgestone
2016-05-25,16.59,16.95,16.59,16.8,16.8,27979,,0.21,1.27,16.7325,"May 25, 2016",BRDCY,Bridgestone
2016-05-26,16.65,17.09,16.6,16.86,16.86,272417,,0.215,1.26,16.8,"May 26, 2016",BRDCY,Bridgestone
2016-05-27,16.85,16.99,16.71,16.78,16.78,26722,,-0.07,-0.41543,16.8325,"May 27, 2016",BRDCY,Bridgestone
2016-05-31,17.1,17.28,16.92,17.13,17.13,20961,,0.035,0.17544,17.1075,"May 31, 2016",BRDCY,Bridgestone
2016-06-01,16.86,17.27,16.86,17.09,17.09,34390,,0.23,1.36,17.02,"June 01, 2016",BRDCY,Bridgestone
2016-06-02,16.93,16.93,16.71,16.8,16.8,24114,,-0.13,-0.76787,16.8425,"June 02, 2016",BRDCY,Bridgestone
2016-06-03,16.72,16.8,16.62,16.74,16.74,27346,,0.02,0.11962,16.72,"June 03, 2016",BRDCY,Bridgestone
2016-06-06,16.72,17.09,16.72,17.06,17.06,60345,,0.34,2.03,16.8975,"June 06, 2016",BRDCY,Bridgestone
2016-06-07,16.9,17.13,16.67,16.8,16.8,49819,,-0.1,-0.59172,16.875,"June 07, 2016",BRDCY,Bridgestone
2016-06-08,17.19,17.19,17.06,17.14,17.14,45481,,-0.05,-0.29087,17.145,"June 08, 2016",BRDCY,Bridgestone
2016-06-09,16.85,17.07,16.85,16.91,16.91,21391,,0.06,0.35608,16.92,"June 09, 2016",BRDCY,Bridgestone
2016-06-10,16.76,16.79,16.59,16.71,16.71,14438,,-0.05,-0.29833,16.7125,"June 10, 2016",BRDCY,Bridgestone
2016-06-13,16.55,16.72,16.55,16.57,16.57,24749,,0.02,0.12085,16.5975,"June 13, 2016",BRDCY,Bridgestone
2016-06-14,16.62,16.62,16.38,16.45,16.45,30869,,-0.165,-1.02,16.5175,"June 14, 2016",BRDCY,Bridgestone
2016-06-15,16.62,16.83,16.42,16.56,16.56,103893,,-0.06,-0.36101,16.6075,"June 15, 2016",BRDCY,Bridgestone
2016-06-16,16.54,16.54,16.25,16.47,16.47,43982,,-0.07,-0.42322,16.45,"June 16, 2016",BRDCY,Bridgestone
2016-06-17,16.52,16.56,16.29,16.44,16.44,56772,,-0.08,-0.48426,16.4525,"June 17, 2016",BRDCY,Bridgestone
2016-06-20,16.79,16.81,16.6,16.78,16.78,31818,,-0.01,-0.05955926,16.745,"June 20, 2016",BRDCY,Bridgestone
2016-06-21,16.53,16.74,16.53,16.7,16.7,33165,,0.17,1.03,16.625,"June 21, 2016",BRDCY,Bridgestone
2016-06-22,16.29,16.6,16.29,16.36,16.36,69986,,0.07,0.42971,16.385,"June 22, 2016",BRDCY,Bridgestone
2016-06-23,16.46,16.75,16.46,16.75,16.75,29733,,0.29,1.76,16.605,"June 23, 2016",BRDCY,Bridgestone
