ticker,date,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_depr_exp,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,div_per_shr,company,is_tot_cash_pfd_dvd,is_discontinued_operations
MGDDY,2025-12-31,annual,2025,2025,USD,27551520000.0,27551520000.0,20111380000.0,20111380000.0,7440140000.0,4658700000.0,3647460000.0,835280000.0,175960000.0,2781440000.0,387960000.0,265000000.0,375240000.0,110240000.0,122960000.0,2393480000.0,629640000.0,1763840000.0,-2120000.0,-2120000.0,1765960000.0,1060000.0,1764900000.0,1764900000.0,2781440000.0,10.095413973530317,623280000.0,2781440000.0,27.00446291166513,10.095413973530317,6.405817174515235,2158160000.0,,,,,,,,Michelin,,
MGDDY,2024-12-31,annual,2024,2024,USD,29368440000.000004,29368440000.000004,21000600000.0,21000600000.0,8367840000.000001,4925880000.0,3773520000.0000005,848880000.0,303480000.0,3441960000.0,801360000.0,166320000.0,318600000.0,152280000.0,635040000.0,2640600000.0,599400000.0,2041200000.0000002,12960000.0,12960000.0,2028240000.0000002,-6480000.0,2034720000.0000002,2034720000.0000002,3441960000.0,11.719927922627146,1190160000.0,3441960000.0,28.492626778950466,11.719927922627146,6.9282535946751,2251800000.0,1540528301.5200002,1.3207936511081255,1.3250000003154763,1540528301.5200002,1.3207936511081255,1.3250000003154763,0.67371693137734,Michelin,,
MGDDY,2023-12-31,annual,2023,2023,USD,30610440000.000004,30610440000.000004,22026600000.0,22026600000.0,8583840000.000001,4862160000.0,3829680000.0000005,816480000.0,216000000.0,3721680000.0000005,1032480000.0000001,277560000.0,417960000.0,140400000.0,754920000.0,2689200000.0,547560000.0,2141640000.0000002,,,2141640000.0000002,,2141640000.0000002,2141640000.0000002,3721680000.0000005,12.158204847757824,1553040000.0,3721680000.0000005,28.042197367956813,12.158204847757824,6.996436509896624,2168640000.0,1546310469.24,1.3850000000663514,1.3850000000663514,1546310469.24,1.3850000000663514,1.3850000000663514,0.623703983892714,Michelin,,
MGDDY,2022-12-31,annual,2022,2022,USD,30019500000.0,30019500000.0,22104600000.0,22104600000.0,7914900000.0,4628400000.0,3588900000.0,732900000.0,306600000.0,3286500000.0,497700000.0,352800000.0,365400000.0,12600000.0,144900000.0,2788800000.0,679350000.0,2109450000.0,16800000.0,16800000.0,2092650000.0,-8400000.0,2101050000.0,2101050000.0,3286500000.0,10.947883875480938,1245300000.0,3286500000.0,26.365862189576774,10.947883875480938,6.998950682056663,2041200000.0,1498140069.3,1.4024389595171214,1.4080459118790087,1506225000.0,1.3949111188567445,1.400487974904148,0.5627978433244619,Michelin,,
MGDDY,2021-12-31,annual,2021,2021,USD,28078100000.0,28078100000.0,19835800000.0,19835800000.0,8242300000.0,4727080000.0,3858600000.0,804760000.0,63720000.0,3515220000.0,599440000.0,299720000.0,302080000.0,2360000.0,299720000.0,2915780000.0,738680000.0,2177100000.0,2360000.0,2360000.0,2174740000.0,-1180000.0,2175920000.0,2175920000.0,3515220000.0,12.519436856482455,1377060000.0,3515220000.0,29.354906492960705,12.519436856482455,7.749527211599075,2138160000.0,1683890141.9199998,1.2921983126042766,1.292899070908292,1695235200.0,1.283550506737944,1.2842465753424657,0.2873109046462871,Michelin,,
MGDDY,2020-12-31,annual,2020,2020,USD,23334659999.999996,23334659999.999996,16819559999.999998,16819559999.999998,6515099999.999999,4523520000.0,3492959999.9999995,736439999.9999999,294120000.0,1991579999.9999998,875519999.9999999,326040000.0,326040000.0,,549480000.0,1116060000.0,403559999.99999994,712499999.9999999,-15959999.999999998,-15959999.999999998,728459999.9999999,7979999.999999999,720479999.9999999,720479999.9999999,1991579999.9999998,8.534857589525624,-106019999.99999999,1991579999.9999998,27.920269676095558,8.534857589525624,3.0875958766915823,2097599999.9999998,1626187199.9999998,0.44304862318434185,0.43814143906679376,1634030399.9999998,0.44092202935759334,0.4360383992855947,0.2502663899949526,Michelin,,
MGDDY,2019-12-31,annual,2019,2019,USD,27031200000.000004,27031200000.000004,19099360000.0,19099360000.0,7931840000.000001,4559520000.0,3771040000.0000005,769440000.0000001,19040000.0,3372320000.0000005,868000000.0000001,439040000.00000006,443520000.00000006,4480000.0,428960000.00000006,2504320000.0,566720000.0,1937600000.0000002,-47040000.00000001,-47040000.00000001,1984640000.0000002,23520000.000000004,1961120000.0000002,1961120000.0000002,3372320000.0000005,12.475657758442097,1305920000.0000002,3372320000.0000005,29.343277397969754,12.475657758442097,7.255023824321524,2066400000.0000002,1608427520.0000002,1.2192778198671954,1.2046548420161327,1614170880.0000002,1.2149395236271392,1.2003685755996292,0.4630609652836579,Michelin,,
MGDDY,2018-12-31,annual,2018,2018,USD,25993040000.0,25993040000.0,18310060000.0,18310060000.0,7682980000.0,4458040000.0,3637940000.0,764640000.0,55460000.0,3224940000.0,593540000.0,333940000.0,336300000.0,2360000.0,259600000.0,2631400000.0,672600000.0,1958800000.0,-40120000.0,-40120000.0,1998920000.0,20060000.0,1978860000.0,1978860000.0,3224940000.0,12.406936626112222,1593000000.0,3224940000.0,29.557835482113674,12.406936626112222,7.613037951697839,1631940000.0,1689665600.0,1.1711548131180514,1.1592826414883513,1698973440.0,1.1647386318175756,1.1529315019780415,0.4448572545952288,Michelin,,
MGDDY,2017-12-31,annual,2017,2017,USD,24814799999.999996,24814799999.999996,16740949999.999998,16740949999.999998,8073849999.999999,4966350000.0,4211509999.9999995,724329999.9999999,30509999.999999996,3107499999.9999995,447479999.99999994,305100000.0,310750000.0,5649999.999999999,142380000.0,2660019999.9999995,746929999.9999999,1913089999.9999998,-15819999.999999998,-15819999.999999998,1928909999.9999998,7909999.999999999,1920999999.9999998,1920999999.9999998,3107499999.9999995,12.522768670309652,1587649999.9999998,3107499999.9999995,32.53642987249545,12.522768670309652,7.741347905282331,1519849999.9999998,1626196559.9999998,1.1812840140308747,1.176419903384865,1634748399.9999998,1.175104376918185,1.1702657118367572,0.4058058024670769,Michelin,,
MGDDY,2016-12-31,annual,2016,2016,USD,23206770000.000004,23206770000.000004,15329100000.000002,15329100000.000002,7877670000.000001,4547670000.0,4069260000.0000005,796980000.0000001,-318570000.0,3330000000.0000005,594960000.0,366300000.00000006,372960000.00000006,6660000.000000001,228660000.00000003,2735040000.0000005,884670000.0000001,1850370000.0000002,-19980000.0,-19980000.0,1870350000.0000002,9990000.0,1860360000.0000002,1860360000.0000002,3330000000.0000005,14.349261013057827,1784880000.0000002,3330000000.0000005,33.94556846989047,14.349261013057827,8.016453819294973,1545120000.0000002,1604482800.0000002,1.1594764368929351,1.153250131444226,1664413920.0000002,1.1177267731574847,1.111724660413799,0.356283034009464,Michelin,,
